Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,8032507.39,553277.18,928746.00,3435,0,3609,0,7534,0,569,0,33,0.7805817444998707,5640
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,15177477.33,317421.00,117720.00,3912,0,1401,0,8874,0,1283,0,52,0.895223826274817,11856
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,593647.20,8119.04,3390.00,166,0,132,0,473,0,47,0,5,0.7237142123647248,372
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6488023.32,4630329.95,4353318.00,3498,0,1395,0,8242,0,1198,0,27,0.9672040690512034,12852
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4442316.45,1757713.20,3032367.00,1561,0,719,0,4362,0,570,0,37,0.5598585356941556,9252
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,3223930.09,810055.26,1826393.00,1009,0,225,0,2180,0,423,0,14,0.9522997225285171,3708
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1308009.27,997454.12,317659.05,654,0,212,0,1757,0,251,0,19,0.9569962483655045,2580
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,841319.72,630906.78,294927.25,570,0,168,0,1168,0,213,0,20,0.9265367736364415,2328
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,754628.95,218774.30,328509.27,263,0,103,0,631,0,110,0,19,0.9173492069282075,1080
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,14815535.47,0.00,0,4111,0,1106,0,9948,0,1502,45,0.9953504876371029,15984
